" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"550969","Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.6, not put up for retail sale","550969","Yarn, <85% acrylic or modacrylic staple fibres,"
"550991","Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with wool or fine animal hair, n.e.c. in heading no. 5509, not put up for retail sale","550991","Yarn, <85% synthetic staple fibres, nes, mixed"
"550992","Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.c. in heading no. 5509, not put up for retail sale","550992","Yarn, <85% synthetic staple fibres, nes, mixed"
"550999","Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), n.e.c. in heading no. 5509, not put up for retail sale","550999","Yarn, <85% synthetic staple fibres, nes, nprs"
"551011","Yarn; (not sewing thread), single, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale","551011","Single yarn, with >=85% artificial staple fibre"
"551012","Yarn; (not sewing thread), multiple (folded) or cabled yarn, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale","551012","Multiple or cabled yarn, with >=85% artificial"
"551020","Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale","551020","Yarn, with <85% artificial staple fibres, mixed"
"551030","Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with cotton, not put up for retail sale","551030","Yarn, with <85% artificial staple fibres, mixed"
"551090","Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), not put up for retail sale","551090","Yarn, with <85% artificial staple fibres, nes,"
"551110","Yarn; (not sewing thread), of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres, put up for retail sale","551110","Yarn, with >=85% synthetic staple fibres, put u"
"551120","Yarn; (not sewing thread), of synthetic staple fibres, containing less than 85% by weight of synthetic staple fibres, put up for retail sale","551120","Yarn, <85% synthetic staple fibres, put up for"
"551130","Yarn; (not sewing thread), of artificial staple fibres, put up for retail sale","551130","Yarn of artificial staple fibres, put up for re"
"551211","Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, unbleached or bleached","551211","Unbleached or bleached woven fabrics, >=85% pol"
"551219","Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, other than unbleached or bleached","551219","Printed, dyed or coloured woven fabrics, >=85%"
"551221","Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, unbleached or bleached","551221","Unbleached or bleached woven fabrics, >=85% acr"
"551229","Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, other than unbleached or bleached","551229","Printed, dyed or coloured woven fabrics, >=85%"
"551291","Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, unbleached or bleached","551291","Unbleached or bleached woven fabrics, >=85% syn"
"551299","Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, other than unbleached or bleached","551299","Printed, dyed, coloured woven fabrics, >=85% sy"
