" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"880730","880730 -- (2022) -- Aircraft and spacecraft; parts of aeroplanes, helicopters or unmanned aircraft n.e.c. in heading no. 8807","880330","Aircraft parts nes"
"880790","880790 -- (2022) -- Aircraft and spacecraft; parts thereof n.e.c. in chapter 88","880390","Parts of balloons, dirigibles, and spacecraft n"
"890110","890110 --  - Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry-boats of all kinds","890110","Cruise ships, excursion boats etc principally d"
"890120","890120 --  - Tankers","890120","Tankers"
"890130","890130 --  - Refrigerated vessels, other than those of subheading 890120","890130","Refrigerated vessels other than tankers"
"890190","890190 --  - Other vessels for the transport of goods and other vessels for the transport of both persons and goods","890190","Cargo vessels nes and other vessels for the tra"
"890200","890200 --  Fishing vessels; factory ships and other vessels for processing or preserving fishery products","890200","Fishing vessels and factory ships"
"890310","890310 --  - Inflatable","890310","Inflatable pleasure craft"
"890311","890311 -- (2022) -- Yachts and other vessels; for pleasure or sports, inflatable (including rigid hull inflatable), fitted or designed to be fitted with a motor, unladen (net) weight (excluding the motor) not exceeding 100kg","890310","Inflatable pleasure craft"
"890312","890312 -- (2022) -- Yachts and other vessels; for pleasure or sports, inflatable (including rigid hull inflatable), not designed to be used with a motor and unladen (net) weight not exceeding 100kg","890310","Inflatable pleasure craft"
"890319","890319 -- (2022) -- Yachts and other vessels; for pleasure or sports, inflatable (including rigid hull inflatable), unladen (net) weight exceeding 100kg","890310","Inflatable pleasure craft"
"890321","890321 -- (2022) -- Sailboats; (other than inflatable) with or without auxiliary motor, for pleasure or sports, of a length not exceeding 7.5m","890391","Sailboats, with or without auxiliary motor"
"890322","890322 -- (2022) -- Sailboats; (other than inflatable) with or without auxiliary motor, for pleasure or sports, of a length exceeding 7.5m but not exceeding 24m","890391","Sailboats, with or without auxiliary motor"
"890323","890323 -- (2022) -- Sailboats; (other than inflatable) with or without auxiliary motor, for pleasure or sports, of a length exceeding 24m","890391","Sailboats, with or without auxiliary motor"
"890331","890331 -- (2022) -- Motorboats; (other than outboard motorboats), for pleasure or sports, other than inflatable, of a length not exceeding 7.5m","890392","Motorboats, other than outboard motorboats"
"890332","890332 -- (2022) -- Motorboats; (other than outboard motorboats), for pleasure or sports, other than inflatable, of a length exceeding 7.5m but not exceeding 24m","890392","Motorboats, other than outboard motorboats"
"890333","890333 -- (2022) -- Motorboats; (other than outboard motorboats), for pleasure or sports, other than inflatable, of a length exceeding 24m","890392","Motorboats, other than outboard motorboats"
"890391","890391 --  -- Sailboats, with or without auxiliary motor","890391","Sailboats, with or without auxiliary motor"
"890392","890392 --  -- Motor boats, other than outboard motor boats","890392","Motorboats, other than outboard motorboats"
"890393","890393 -- (2022) -- Vessels; (other than sailboats and motorboats), for pleasure or sports, other than inflatable, of a length not exceeding 7.5m","890399","Rowing boats, canoes, sculls and other pleasure"
"890399","890399 --  -- Other","890399","Rowing boats, canoes, sculls and other pleasure"
"890400","890400 --  Tugs and pusher craft","890400","Tugs and pusher craft"
"890510","890510 --  - Dredgers","890510","Dredgers"
"890520","890520 --  - Floating or submersible drilling or production platforms","890520","Floating or submersible drilling or production"
"890590","890590 --  - Other","890590","Floating docks and vessels which perform specia"
"890600","890600 -- (-2001) Other vessels, including warships and lifeboats other than rowing boats","890600","Warships, lifeboats, hospital ships and vessels"
"890610","890610 -- (2002-) - Warships","890600","Warships, lifeboats, hospital ships and vessels"
"890690","890690 -- (2002-) - Other","890600","Warships, lifeboats, hospital ships and vessels"
"890710","890710 --  - Inflatable rafts","890710","Inflatable rafts including those for carrying s"
"890790","890790 --  - Other","890790","Buoys, beacons, coffer-dams, pontoons and other"
"890800","890800 --  Vessels and other floating structures for breaking up","890800","Vessels and other floating structures for break"
"900110","900110 --  - Optical fibres, optical fibre bundles and cables","900110","Optical fbrs,optical fbr bundles&cables,oth tha"
"900120","900120 --  - Sheets and plates of polarising material","900120","Sheets and plates of polarising material"
"900130","900130 --  - Contact lenses","900130","Contact lenses"
"900140","900140 --  - Spectacle lenses of glass","900140","Spectacle lenses of glass"
"900150","900150 --  - Spectacle lenses of other materials","900150","Spectacle lenses of other materials"
"900190","900190 --  - Other","900190","Prisms, mirrors & other optical elements of any"
"900211","900211 --  -- For cameras, projectors or photographic enlargers or reducers","900211","Objective lenses for cameras,projectors or phot"
"900219","900219 --  -- Other","900219","Objective lenses, nes"
"900220","900220 --  - Filters","900220","Optical filters"
"900290","900290 --  - Other","900290","Lenses, prisms, mirrors and other optical eleme"
"900311","900311 --  -- Of plastics","900311","Frames and mountings for spectacles, goggles or"
"900319","900319 --  -- Of other materials","900319","Frames and mountings for spectacles,goggles or"
"900390","900390 --  - Parts","900390","Parts for frames and mountings for spectacles,"
"900410","900410 --  - Sunglasses","900410","Sunglasses"
"900490","900490 --  - Other","900490","Spectacles, goggles and the like, corrective, p"
"900510","900510 --  - Binoculars","900510","Binoculars"
"900580","900580 --  - Other instruments","900580","Monoculars, oth optical telescopes, astronomica"
"900590","900590 --  - Parts and accessories (including mountings)","900590","Parts and accessories (including mountings), of"
